% https://docs.sentinel.thalesgroup.com/softwareandservices/ems/EMSdocs/WSG/Content/TimeZone.htm
ID,Location
Pacific/Galapagos,(GMT-06:00) Galapagos
America/Atikokan,(GMT-05:00) Atikokan
America/Bogota,"(GMT-05:00) Bogota, Lima, Quito"
America/Cancun,(GMT-05:00) Cancun
America/Cayman,(GMT-05:00) Cayman
America/Coral_Harbour,(GMT-05:00) Coral Harbour
America/Eirunepe,(GMT-05:00) Eirunepe
America/Guayaquil,(GMT-05:00) Guayaquil
America/Indianapolis,(GMT-05:00) Indiana (East)
America/Jamaica,(GMT-05:00) Jamaica
America/Lima,(GMT-05:00) Lima
America/Matamoros,(GMT-05:00) Matamoros
America/Menominee,(GMT-05:00) Menominee
America/Merida,(GMT-05:00) Merida
America/Monterrey,(GMT-05:00) Monterrey
America/Nipigon,(GMT-05:00) Nipigon
America/Panama,(GMT-05:00) Panama
America/Rainy_River,(GMT-05:00) Rainy River
America/Rio_Branco,(GMT-05:00) Rio Branco
America/Thunder_Bay,(GMT-05:00) Thunder Bay
America/Winnipeg,(GMT-05:00) Winnipeg
America/New_York,(GMT-05:00) Eastern Time (US & Canada)
Pacific/Easter,(GMT-05:00) Easter
America/Caracas,(GMT-04:30) Caracas
America/Anguilla,(GMT-04:00) Anguilla
America/Antigua,(GMT-04:00) Antigua
America/Aruba,(GMT-04:00) Aruba
America/Asuncion,(GMT-04:00) Asuncion
America/Barbados,(GMT-04:00) Barbados
America/Boa_Vista,(GMT-04:00) Boa Vista
America/Campo_Grande,(GMT-04:00) Campo Grande
America/Curacao,(GMT-04:00) Curacao
America/Cuiaba,(GMT-04:00) Cuiaba
America/Detroit,(GMT-04:00) Detroit
America/Dominica,(GMT-04:00) Dominica
America/Grand_Turk,(GMT-04:00) Grand Turk
America/Grenada,(GMT-04:00) Grenada
America/Guadeloupe,(GMT-04:00) Guadeloupe
America/Guyana,(GMT-04:00) Guyana
America/Halifax,(GMT-04:00) Atlantic Time (Canada)
America/Havana,(GMT-04:00) Havana
America/La_Paz,"(GMT-04:00) Georgetown, La Paz, Manaus, San Juan"
America/Manaus,(GMT-04:00) Manaus
America/Martinique,(GMT-04:00) Martinique
America/Montreal,(GMT-04:00) Montreal
America/Montserrat,(GMT-04:00) Montserrat
America/Nassau,(GMT-04:00) Nassau
America/Port_of_Spain,(GMT-04:00) Port of Spain
America/Porto_Velho,(GMT-04:00) Porto Velho
America/Puerto_Rico,(GMT-04:00) Puerto Rico
America/Santo_Domingo,(GMT-04:00) Santo Domingo
America/St_Kitts,(GMT-04:00) St. Kitts
America/St_Lucia,(GMT-04:00) St. Lucia
America/St_Thomas,(GMT-04:00) St. Thomas
America/St_Vincent,(GMT-04:00) St. Vincent
America/Toronto,(GMT-04:00) Toronto
America/Tortola,(GMT-04:00) Tortola
America/Santiago,(GMT-04:00) Santiago
America/St_Johns,(GMT-03:30) Newfoundland
America/Araguaina,(GMT-03:00) Araguaina
America/Bahia,(GMT-03:00) Bahia
America/Belem,(GMT-03:00) Belem
America/Buenos_Aires,(GMT-03:00) Buenos Aires
America/Cayenne,"(GMT-03:00) Cayenne, Fortaleza"
America/Fortaleza,(GMT-03:00) Fortaleza
America/Glace_Bay,(GMT-03:00) Glace Bay
America/Goose_Bay,(GMT-03:00) Goose Bay
America/Godthab,(GMT-03:00) Greenland
America/Maceio,(GMT-03:00) Maceio
America/Moncton,(GMT-03:00) Moncton
America/Paramaribo,(GMT-03:00) Paramaribo
America/Punta_Arenas,(GMT-03:00) Punta Arenas
America/Recife,(GMT-03:00) Recife
America/Rosario,(GMT-03:00) Rosario
America/Santarem,(GMT-03:00) Santarem
America/Thule,(GMT-03:00) Thule
America/Montevideo,(GMT-03:00) Montevideo
America/Sao_Paulo,(GMT-03:00) Brasilia
Antarctica/Rothera,(GMT-03:00) Rothera
Atlantic/Bermuda,(GMT-03:00) Bermuda
Atlantic/Stanley,(GMT-03:00) Stanley
America/Miquelon,(GMT-02:00) Miquelon
America/Noronha,(GMT-02:00) Noronha
Atlantic/South_Georgia,(GMT-02:00) South Georgia
Etc/GMT+2,(GMT-02:00) Coordinated Universal Time-02
Atlantic/Azores,(GMT-01:00) Azores
Atlantic/Cape_Verde,(GMT-01:00) Cape Verde
UTC,(GMT+00:00) Default
America/Danmarkshavn,(GMT+00:00) Danmarkshavn
America/Scoresbysund,(GMT+00:00) Scoresbysund
Africa/Accra,(GMT+00:00) Accra
Africa/Abidjan,(GMT+00:00) Abidjan
Africa/Bamako,(GMT+00:00) Bamako
Africa/Banjul,(GMT+00:00) Banjul
Africa/Bissau,(GMT+00:00) Bissau
Africa/Conakry,(GMT+00:00) Conakry
Africa/Dakar,(GMT+00:00) Dakar
Africa/El_Aaiun,(GMT+00:00) El Aaiun
Africa/Freetown,(GMT+00:00) Freetown
Africa/Lome,(GMT+00:00) Lome
Africa/Monrovia,(GMT+00:00) Monrovia
Africa/Nouakchott,(GMT+00:00) Nouakchott
Africa/Ouagadougou,(GMT+00:00) Ouagadougou
Africa/Sao_Tome,(GMT+00:00) Sao Tome
Africa/Timbuktu,(GMT+00:00) Timbuktu
Antarctica/Troll,(GMT+00:00) Troll
Atlantic/St_Helena,(GMT+00:00) St. Helena
Atlantic/Reykjavik,"(GMT+00:00) Monrovia, Reykjavik"
Europe/London,"(GMT+00:00) Greenwich Mean Time, Dublin, Edinburgh, Lisbon, London"
Africa/Bangui,(GMT+01:00) Bangui
Africa/Casablanca,(GMT+01:00) Casablanca
Africa/Algiers,(GMT+01:00) Algiers
Africa/Brazzaville,(GMT+01:00) Brazzaville
Africa/Douala,(GMT+01:00) Douala
Africa/Kinshasa,(GMT+01:00) Kinshasa
Africa/Libreville,(GMT+01:00) Libreville
Africa/Luanda,(GMT+01:00) Luanda
Africa/Malabo,(GMT+01:00) Malabo
Africa/Ndjamena,(GMT+01:00) Ndjamena
Africa/Niamey,(GMT+01:00) Niamey
Africa/Tunis,(GMT+01:00) Tunis
Africa/Lagos,(GMT+01:00) West Central Africa
Atlantic/Canary,(GMT+01:00) Canary
Atlantic/Faroe,(GMT+01:00) Faroe
Atlantic/Madeira,(GMT+01:00) Madeira
Europe/Belfast,(GMT+01:00) Belfast
Europe/Berlin,"(GMT+01:00) Amsterdam, Berlin, Bern, Rome, Stockholm, Vienna"
Europe/Budapest,"(GMT+01:00) Belgrade, Bratislava, Budapest, Ljubljana, Prague"
Europe/Dublin,(GMT+01:00) Dublin
Europe/Guernsey,(GMT+01:00) Guernsey
Europe/Isle_of_Man,(GMT+01:00) Isle of Man
Europe/Jersey,(GMT+01:00) Jersey
Europe/Lisbon,(GMT+01:00) Lisbon
Europe/Paris,"(GMT+01:00) Brussels, Copenhagen, Madrid, Paris"
Europe/Warsaw,"(GMT+01:00) Sarajevo, Skopje, Warsaw, Zagreb"
Africa/Blantyre,(GMT+02:00) Blantyre
Africa/Bujumbura,(GMT+02:00) Bujumbura
Africa/Cairo,(GMT+02:00) Cairo
Africa/Ceuta,(GMT+02:00) Ceuta
Africa/Johannesburg,(GMT+02:00) Johannesburg
Africa/Gaborone,(GMT+02:00) Gaborone
Africa/Harare,(GMT+02:00) Harare
Africa/Khartoum,(GMT+02:00) Khartoum
Africa/Kigali,(GMT+02:00) Kigali
Africa/Lubumbashi,(GMT+02:00) Lubumbashi
Africa/Lusaka,(GMT+02:00) Lusaka
Africa/Maputo,(GMT+02:00) Maputo
Africa/Maseru,(GMT+02:00) Maseru
Africa/Mbabane,(GMT+02:00) Mbabane
Africa/Tripoli,(GMT+02:00) Tripoli
Africa/Windhoek,(GMT+02:00) Windhoek
Asia/Amman,(GMT+02:00) Amman
Asia/Beirut,(GMT+02:00) Beirut
Asia/Damascus,(GMT+02:00) Damascus
Asia/Jerusalem,(GMT+02:00) Jerusalem
Europe/Amsterdam,(GMT+02:00) Amsterdam
Europe/Andorra,(GMT+02:00) Andorra
Europe/Belgrade,(GMT+02:00) Belgrade
Europe/Brussels,(GMT+02:00) Brussels
Europe/Copenhagen,(GMT+02:00) Copenhagen
Europe/Gibraltar,(GMT+02:00) Gibraltar
Europe/Istanbul,"(GMT+02:00) Athens, Bucharest, Istanbul"
Europe/Kaliningrad,(GMT+02:00) Kaliningrad
Europe/Kiev,"(GMT+02:00) Helsinki, Kyiv, Riga, Sofia, Tallinn, Vilnius"
Europe/Ljubljana,(GMT+02:00) Ljubljana
Europe/Luxembourg,(GMT+02:00) Luxembourg
Europe/Madrid,(GMT+02:00) Madrid
Europe/Malta,(GMT+02:00) Malta
Europe/Monaco,(GMT+02:00) Monaco
Europe/Minsk,(GMT+02:00) Minsk
Europe/Oslo,(GMT+02:00) Oslo
Europe/Prague,(GMT+02:00) Prague
Europe/Rome,(GMT+02:00) Rome
Europe/Sarajevo,(GMT+02:00) Sarajevo
Europe/Skopje,(GMT+02:00) Skopje
Europe/Stockholm,(GMT+02:00) Stockholm
Europe/Tirane,(GMT+02:00) Tirane
Europe/Vaduz,(GMT+02:00) Vaduz
Europe/Vienna,(GMT+02:00) Vienna
Europe/Zagreb,(GMT+02:00) Zagreb
Europe/Zurich,(GMT+02:00) Zurich
Africa/Addis_Ababa,(GMT+03:00) Addis Ababa
Africa/Asmara,(GMT+03:00) Asmara
Africa/Dar_es_Salaam,(GMT+03:00) Dar es Salaam
Africa/Djibouti,(GMT+03:00) Djibouti
Africa/Juba,(GMT+03:00) Juba
Africa/Kampala,(GMT+03:00) Kampala
Africa/Mogadishu,(GMT+03:00) Mogadishu
Africa/Nairobi,(GMT+03:00) Nairobi
Asia/Aden,(GMT+03:00) Aden
Asia/Bahrain,(GMT+03:00) Bahrain
Asia/Baghdad,(GMT+03:00) Baghdad
Asia/Famagusta,(GMT+03:00) Famagusta
Asia/Gaza,(GMT+03:00) Gaza
Asia/Hebron,(GMT+03:00) Hebron
Asia/Kuwait,(GMT+03:00) Kuwait
Asia/Nicosia,(GMT+03:00) Nicosia
Asia/Qatar,(GMT+03:00) Qatar
Asia/Tel_Aviv,(GMT+03:00) Tel Aviv
Asia/Riyadh,"(GMT+03:00) Kuwait, Riyadh"
Europe/Athens,(GMT+03:00) Athens
Europe/Bucharest,(GMT+03:00) Bucharest
Europe/Chisinau,(GMT+03:00) Chisinau
Europe/Helsinki,(GMT+03:00) Helsinki
Europe/Kirov,(GMT+03:00) Kirov
Europe/Moscow,"(GMT+03:00) Moscow, St. Petersburg, Volgograd"
Europe/Riga,(GMT+03:00) Riga
Europe/Simferopol,(GMT+03:00) Simferopol
Europe/Sofia,(GMT+03:00) Sofia
Europe/Tallinn,(GMT+03:00) Tallinn
Europe/Tiraspol,(GMT+03:00) Tiraspol
Europe/Uzhgorod,(GMT+03:00) Uzhgorod
Europe/Vilnius,(GMT+03:00) Vilnius
Europe/Volgograd,(GMT+03:00) Volgograd
Europe/Zaporozhye,(GMT+03:00) Zaporozhye
Indian/Antananarivo,(GMT+03:00) Antananarivo
Indian/Comoro,(GMT+03:00) Comoro
Indian/Mayotte,(GMT+03:00) Mayotte
Asia/Tehran,(GMT+03:30) Tehran
Asia/Baku,(GMT+04:00) Baku
Asia/Muscat,(GMT+04:00) Muscat
Asia/Dubai,"(GMT+04:00) Abu Dhabi, Muscat"
Asia/Tbilisi,(GMT+04:00) Tbilisi
Asia/Yerevan,(GMT+04:00) Yerevan
Europe/Astrakhan,(GMT+04:00) Astrakhan
Europe/Samara,(GMT+04:00) Samara
Europe/Saratov,(GMT+04:00) Saratov
Europe/Ulyanovsk,(GMT+04:00) Ulyanovsk
Indian/Mahe,(GMT+04:00) Mahe
Indian/Mauritius,(GMT+04:00) Port Louis
Indian/Reunion,(GMT+04:00) Reunion
Asia/Kabul,(GMT+04:30) Kabul
Antarctica/Mawson,(GMT+05:00) Mawson
Asia/Aqtau,(GMT+05:00) Aqtau
Asia/Aqtobe,(GMT+05:00) Aqtobe
Asia/Ashgabat,(GMT+05:00) Ashgabat
Asia/Atyrau,(GMT+05:00) Atyrau
Asia/Dushanbe,(GMT+05:00) Dushanbe
Asia/Oral,(GMT+05:00) Oral
Asia/Samarkand,(GMT+05:00) Samarkand
Asia/Karachi,"(GMT+05:00) Islamabad, Karachi"
Asia/Tashkent,(GMT+05:00) Tashkent
Asia/Yekaterinburg,(GMT+05:00) Yekaterinburg
Indian/Maldives,(GMT+05:00) Maldives
Asia/Calcutta,"(GMT+05:30) Chennai, Kolkata, Mumbai, New Delhi"
Asia/Colombo,(GMT+05:30) Sri Jayawardenepura
Asia/Kolkata,(GMT+05:30) Kolkata
Asia/Kathmandu,(GMT+05:45) Kathmandu
Asia/Almaty,(GMT+06:00) Astana
Asia/Bishkek,(GMT+06:00) Bishkek
Asia/Kashgar,(GMT+06:00) Kashgar
Asia/Omsk,(GMT+06:00) Omsk
Asia/Qyzylorda,(GMT+06:00) Qyzylorda
Asia/Thimphu,(GMT+06:00) Thimphu
Asia/Urumqi,(GMT+06:00) Urumqi
Asia/Dhaka,(GMT+06:00) Dhaka
Asia/Novosibirsk,(GMT+06:00) Novosibirsk
Indian/Chagos,(GMT+06:00) Chagos
Asia/Yangon,(GMT+06:30) Yangon
Asia/Rangoon,(GMT+06:30) Yangon (Rangoon)
Indian/Cocos,(GMT+06:30) Cocos
Antarctica/Davis,(GMT+07:00) Davis
Asia/Barnaul,(GMT+07:00) Barnaul
Asia/Bangkok,"(GMT+07:00) Bangkok, Hanoi, Jakarta"
Asia/Ho_Chi_Minh,(GMT+07:00) Ho Chi Minh
Asia/Hovd,(GMT+07:00) Hovd
Asia/Jakarta,(GMT+07:00) Jakarta
Asia/Novokuznetsk,(GMT+07:00) Novokuznetsk
Asia/Phnom_Penh,(GMT+07:00) Phnom Penh
Asia/Pontianak,(GMT+07:00) Pontianak
Asia/Tomsk,(GMT+07:00) Tomsk
Asia/Vientiane,(GMT+07:00) Vientiane
Asia/Krasnoyarsk,(GMT+07:00) Krasnoyarsk
Indian/Christmas,(GMT+07:00) Christmas
Antarctica/Casey,(GMT+08:00) Casey
Asia/Brunei,(GMT+08:00) Brunei
Asia/Choibalsan,(GMT+08:00) Choibalsan
Asia/Chongqing,(GMT+08:00) Chongqing
Asia/Harbin,(GMT+08:00) Harbin
Asia/Hong_Kong,(GMT+08:00) Hong Kong
Asia/Kuala_Lumpur,(GMT+08:00) Kuala Lumpur
Asia/Kuching,(GMT+08:00) Kuching
Asia/Macau,(GMT+08:00) Macau
Asia/Makassar,(GMT+08:00) Makassar
Asia/Manila,(GMT+08:00) Manila
Asia/Irkutsk,(GMT+08:00) Irkutsk
Asia/Shanghai,"(GMT+08:00) Beijing, Chongqing, Hong Kong, Urumqi"
Asia/Singapore,"(GMT+08:00) Kuala Lumpur, Singapore"
Asia/Taipei,(GMT+08:00) Taipei
Asia/Ulaanbaatar,(GMT+08:00) Ulaanbaatar
Australia/Perth,(GMT+08:00) Perth
Asia/Pyongyang,(GMT+08:30) Pyongyang
Australia/Eucla,(GMT+08:30) Eucla
Asia/Chita,(GMT+09:00) Chita
Asia/Dili,(GMT+09:00) Dili
Asia/Jayapura,(GMT+09:00) Jayapura
Asia/Khandyga,(GMT+09:00) Khandyga
Asia/Tokyo,"(GMT+09:00) Osaka, Sapporo, Tokyo"
Asia/Seoul,(GMT+09:00) Seoul
Asia/Yakutsk,(GMT+09:00) Yakutsk
Pacific/Palau,(GMT+09:00) Palau
Australia/Adelaide,(GMT+09:30) Adelaide
Australia/Broken_Hill,(GMT+09:30) Broken Hill
Australia/Darwin,(GMT+09:30) Darwin
Australia/Brisbane,(GMT+10:00) Brisbane
Asia/Vladivostok,(GMT+10:00) Vladivostok
Australia/Hobart,(GMT+10:00) Hobart
Australia/Lindeman,(GMT+10:00) Lindeman
Pacific/Chuuk,(GMT+10:00) Chuuk
Pacific/Saipan,(GMT+10:00) Saipan
Pacific/Port_Moresby,"(GMT+10:00) Guam, Port Moresby"
Australia/LHI,(GMT+10:30) Lord Howe Island
Australia/Lord_Howe,(GMT+10:30) Lord Howe Island
Asia/Sakhalin,(GMT+11:00) Sakhalin
Asia/Srednekolymsk,(GMT+11:00) Srednekolymsk
Asia/Magadan,"(GMT+11:00) Magadan, Solomon Is., New Caledonia"
Australia/Currie,(GMT+11:00) Currie
Australia/Melbourne,(GMT+11:00) Melbourne
Australia/Sydney,(GMT+11:00) Sydney
Pacific/Efate,(GMT+11:00) Efate
Pacific/Bougainville,(GMT+11:00) Bougainville
Pacific/Guadalcanal,(GMT+11:00) Guadalcanal
Pacific/Kosrae,(GMT+11:00) Kosrae
Pacific/Norfolk,(GMT+11:00) Norfolk
Pacific/Noumea,(GMT+11:00) Noumea
Pacific/Pohnpei,(GMT+11:00) Pohnpei
Asia/Anadyr,(GMT+12:00) Anadyr
Asia/Kamchatka,(GMT+12:00) Petropavlovsk-Kamchatsky
Etc/GMT-12,(GMT+12:00) Coordinated Universal Time+12
Pacific/Funafuti,(GMT+12:00) Funafuti
Pacific/Kwajalein,(GMT+12:00) Kwajalein
Pacific/Majuro,(GMT+12:00) Majuro
Pacific/Nauru,(GMT+12:00) Nauru
Pacific/Tarawa,(GMT+12:00) Tarawa
Pacific/Wake,(GMT+12:00) Wake
Pacific/Wallis,(GMT+12:00) Wallis
Pacific/Auckland,"(GMT+12:00) Auckland, Wellington"
Pacific/Fiji,(GMT+12:00) Fiji
Pacific/Chatham,(GMT+12:45) Chatham Islands
Pacific/Enderbury,"(GMT+13:00) Phoenix Islands, Tokelau, Tonga"
Pacific/Fakaofo,(GMT+13:00) Fakaofo
Pacific/Tongatapu,(GMT+13:00) Tongatapu
Pacific/Apia,(GMT+14:00) Apia
Pacific/Kiritimati,(GMT+14:00) Line Islands
