Continent,Country,River,Length (km)
Asia,Thailand,Chao Phraya River,372
Asia,Timor-Leste,Loes River,80
Asia,Turkey,Kizilirmak River,1355
Asia,Turkmenistan,Amu Darya,2540
Asia,United Arab Emirates,No permanent rivers (Wadi Bih),Seasonal
Asia,Uzbekistan,Syr Darya,2212
Asia,Vietnam,Red River,1149
Asia,Yemen,No permanent rivers (Wadi Hadramaut),Seasonal
Europe,Albania,Drin River,335
Europe,Andorra,Valira River,44
Europe,Austria,Danube River,2850
Europe,Belarus,Dnieper River,2201
Europe,Belgium,Meuse River,925
Europe,Bosnia and Herzegovina,Neretva River,225
Europe,Bulgaria,Danube River,2850
Europe,Croatia,Sava River,990
Europe,Czech Republic,Vltava River,430
Europe,Denmark,Gudenå River,176
Europe,Estonia,Pärnu River,144
Europe,Finland,Kemijoki River,550
Europe,France,Seine River,777
Europe,Germany,Rhine River,1230
Europe,Greece,Aliakmon River,297
Europe,Hungary,Danube River,2850
Europe,Iceland,Þjórsá River,230
Europe,Ireland,Shannon River,360
Europe,Italy,Po River,652
Europe,Latvia,Daugava River,1020
Europe,Liechtenstein,Rhine River,1230
Europe,Lithuania,Nemunas River,917
Europe,Luxembourg,Moselle River,544
Europe,Malta,No permanent rivers (Wadi Wied il-Għasri),Seasonal
Europe,Moldova,Dniester River,1362
Europe,Monaco,No natural rivers,N/A
Europe,Montenegro,Tara River,146
Europe,Netherlands,Rhine River,1230
Europe,North Macedonia,Vardar River,388
Europe,Norway,Glomma River,621
Europe,Poland,Vistula River,1047
Europe,Portugal,Tagus River,1007
Europe,Romania,Danube River,2850
Europe,Russia,Volga River,3530
Europe,San Marino,San Marino River,26
Europe,Serbia,Danube River,2850
Europe,Slovakia,Danube River,2850
Europe,Slovenia,Sava River,990
Europe,Spain,Ebro River,910
Europe,Sweden,Torne River,520
Europe,Switzerland,Rhine River,1230
Europe,Ukraine,Dnieper River,2201
Europe,United Kingdom,River Thames,346
Europe,Vatican City,No natural rivers (Borders Tiber),405
Oceania,Australia,Murray-Darling System,3672
Oceania,Fiji,Rewa River,145
Oceania,Kiribati,No natural rivers,N/A
Oceania,Marshall Islands,No natural rivers,N/A
Oceania,Micronesia,Doke River,4
Oceania,Nauru,No natural rivers,N/A
Oceania,New Zealand,Waikato River,425
Oceania,Palau,Ngerdorch River,10
Oceania,Papua New Guinea,Sepik River,1126
Oceania,Samoa,Vaisigano River,15
Oceania,Solomon Islands,Lunga River,45
Oceania,Tonga,No natural rivers,N/A
Oceania,Tuvalu,No natural rivers,N/A
Oceania,Vanuatu,Sarakata River,25
